;X;Y;Z;Rf;Gf;Bf;Af
180;-1.29372901;0.49382027;1.27516013;0.411765;0.313725;0.243137;1
181;-1.34211844;0.07647045;0.22392994;0.156863;0.282353;0.176471;1
182;-0.36945076;0.86905010;0.14674014;0.262745;0.988235;1;1
183;-0.63088913;0.61991985;1.28645998;0.529412;0.388235;0.333333;1
184;-0.84089966;0.49788006;1.28466993;0.533333;0.372549;0.298039;1
185;-0.65430946;0.71636971;1.16206008;0.141176;0.380392;0.329412;1
186;-0.42018051;0.73771008;0.65135998;0.329412;0.639216;0.552941;1
187;-0.37135048;0.86413963;0.146010000;0.482353;0.839216;0.760784;1
188;-0.35888023;1.45001991;1.29056007;0.411765;0.866667;0.760784;1
189;-0.64996071;0.07083996;1.29145009;0.592157;0.403922;0.34902;1
190;-0.70485039;0.75290020;0.51425010;0.258824;0.572549;0.501961;1
191;-0.15482063;0.84303959;1.28796011;0.529412;1;1;1
192;-0.18476982;0.62384041;1.04470998;0.0470588;0.92549;0.909804;1
193;-0.47832031;1.62988956;1.21235996;0.184314;1;1;1
194;-0.75182076;0.77091034;0.51248008;0.258824;0.568627;0.490196;1
195;-0.62956924;2.19989022;1.44787008;0.231373;0.976471;0.780392;1
196;-0.29984016;0.27696999;1.60839016;0.694118;0.611765;0.545098;1
197;-0.37419052;0.85579021;0.10121006;0.435294;0.854902;0.74902;1
198;-1.07701036;0.30577953;1.28753001;0.439216;0.294118;0.239216;1
199;-0.39381905;0.80451019;0.46829992;0.278431;0.882353;0.862745;1
200;-0.35896034;0.90476997;0.61924010;0.219608;0.996078;1;1
201;-0.31282921;2.09552011;0.13291996;0.137255;0.529412;0.352941;1
202;-1.08541986;0.01148041;0.53771001;0.0235294;0.113725;0.152941;1
203;-0.3806953;2.14993009;0.86893993;0.168627;0.792157;0.701961;1
204;-0.28118972;-0.00491993;1.10599000;0.0313725;0.984314;0.933333;1
205;-1.30354997;0.09486015;0.15704006;0.0745098;0.286275;0.184314;1
206;-0.166203040;0.48497971;1.03087003;0.0196078;0.611765;0.588235;1
207;-0.237130087;0.84239967;0.12301999;0.443137;0.482353;0.364706;1
208;-1.14902993;0.26375969;1.30647998;0.466667;0.298039;0.243137;1
209;-0.10600015;0.58792980;1.31594996;0.596078;0.717647;0.654902;1
210;-1.22289772;0.04065998;0.09192997;0.0862745;0.301961;0.215686;1
211;-1.26776619;0.06373985;1.28761012;0.411765;0.270588;0.215686;1
212;-0.41626091;0.74569996;0.53716999;0.32549;2;0.984314;1
213;-0.96996994;0.14480026;1.29916007;0.482353;0.32549;0.270588;1
214;-0.19592972;0.49193962;1.30530007;0.639216;0.65098;0.564706;1
215;-1.09171983;0.00663002;0.69656998;0.027451;0.0470588;0.0862745;1
216;-2.14614984;1.06163033;1.28308993;0.286275;0.172549;0.137255;1
217;-0.35751078;0.90316971;0.06908995;0.439216;0.835294;0.729412;1
218;-1.42788050;0.14816006;0.98931008;0.0823529;0.227451;0.129412;1
219;-0.36271019;0.88758953;0.46292001;0.282353;0.984314;0.992157;1
220;-0.45514030;0.66251953;0.72345000;0.329412;0.533333;0.427451;1
221;-0.86226006;0.20722015;1.39611963;0.466667;0.329412;0.27451;1
222;-1.29110071;0.76474007;1.43168953;0.34902;0.301961;0.239216;1
223;-0.223227233;2.08623991;0.49967009;0.337255;0.866667;0.694118;1
224;-0.269722289;0.21914013;1.37789065;0.466667;0.345098;0.290196;1
225;-1.14609072;0.69275959;1.40699083;0.407843;0.313725;0.239216;1
226;-0.59538956;0.71284016;0.34901005;0.305882;0.592157;0.513725;1
227;-0.30552025;2.06581030;0.02168995;0.262745;0.737255;0.545098;1
228;-0.42930908;0.69610985;0.58733994;0.439216;0.988235;0.988235;1
229;-0.34195061;1.89000996;1.17229014;0.321569;0.984314;0.972549;1
230;-0.37633057;0.23423965;1.14230018;0.603922;0.556863;0.505882;1
231;-0.36872978;0.87741955;0.99282008;0.368627;0.74902;0.603922;1
232;-0.46479912;0.66778954;1.04340013;0.231373;0.478431;0.411765;1
233;-0.52572937;0.68488987;0.20600989;0.341176;0.588235;0.521569;1
234;-0.30684967;2.09694967;0.21398987;0.121569;0.498039;0.333333;1
235;-0.04395981;0.54794987;1.29583009;0.572549;0.647059;0.619608;1
236;-0.36319084;0.88566978;0.19780999;0.470588;0.878431;0.772549;1
237;-0.36960907;0.86567028;0.02538997;0.447059;0.811765;0.701961;1
238;-0.74229927;0.76719959;0.48762995;0.262745;0.572549;0.494118;1
239;-0.15616913;0.66539009;1.25685006;0.482353;0.709804;0.635294;1
240;-0.99708099;0.76157959;1.05142003;0.262745;0.415686;0.27451;1
241;-1.99916956;0.91061981;1.28538996;0.278431;0.172549;0.141176;1
242;-0.35666008;0.90752991;0.12418002;0.443137;0.827451;0.760784;1
243;-0.63498039;0.72556026;1.14656003;0.313725;0.423529;0.372549;1
244;-0.65520973;0.73470028;0.53206998;0.266667;0.6;0.509804;1
245;-0.85994072;0.50986012;1.28640993;0.482353;0.372549;0.298039;1
246;-0.97800941;0.80809982;0.66325003;0.14902;0.392157;0.329412;1
